Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 6, 2025 - April 6, 2026"
Statement,Data,WhenGenerated,"2026-04-07, 08:26:19 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,132541.748515
Summary,Data,Ending Cash,132541.748515
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2025-10-30,vpk2,MICROSOFT CORP,Buy,MSFT,81.0,523.05,USD,-42367.05,-1.001782,-42368.051782
Transaction History,Data,2025-10-29,vpk2,META PLATFORMS INC-CLASS A,Buy,META,100.0,752.0,USD,-75200.0,-1.0022,-75201.0022
Transaction History,Data,2025-10-29,vpk2,ALPHABET INC-CL A,Buy,GOOGL,1.0,269.95,USD,-269.95,-0.005022,-269.955022
Transaction History,Data,2025-10-29,vpk2,ALPHABET INC-CL A,Buy,GOOGL,95.0,269.95,USD,-25645.25,-0.47709,-25645.72709
Transaction History,Data,2025-10-29,vpk2,MICROSOFT CORP,Buy,MSFT,200.0,544.4,USD,-108880.0,-1.0044,-108881.0044
Transaction History,Data,2025-10-29,vpk2,MERCADOLIBRE INC,Buy,MELI,20.0,2283.42,USD,-45668.4,-1.00044,-45669.400440000005
Transaction History,Data,2025-10-29,vpk2,ALPHABET INC-CL A,Buy,GOOGL,100.0,269.95,USD,-26995.0,-1.0022,-26996.0022
Transaction History,Data,2025-10-29,vpk2,ALPHABET INC-CL A,Buy,GOOGL,204.0,269.95,USD,-55069.8,-0.524488,-55070.324488000006
Transaction History,Data,2025-10-29,vpk2,Electronic Fund Transfer,Deposit,-,-,-,-,150000.0,-,150000.0
Transaction History,Data,2025-10-28,vpk2,MERCADOLIBRE INC,Buy,MELI,10.0,2274.88,USD,-22748.8,-1.00022,-22749.80022
Transaction History,Data,2025-10-28,vpk2,IONQ INC,Buy,IONQ,111.0,62.9,USD,-6981.9,-1.002442,-6982.902442
Transaction History,Data,2025-10-28,vpk2,IONQ INC,Buy,IONQ,89.0,62.9,USD,-5598.1,-0.001958,-5598.101958
Transaction History,Data,2025-10-27,vpk2,SALESFORCE INC,Sell,CRM,-5.0,256.6,USD,1283.0,-9.4E-4,1282.99906
Transaction History,Data,2025-10-27,vpk2,SALESFORCE INC,Sell,CRM,-12.0,256.61,USD,3079.32,-0.002256,3079.317744
Transaction History,Data,2025-10-27,vpk2,MERCADOLIBRE INC,Sell,MELI,-20.0,2279.8,USD,45596.0,-1.00376,45594.99624
Transaction History,Data,2025-10-27,vpk2,SALESFORCE INC,Sell,CRM,-73.0,256.6,USD,18731.8,-1.013724,18730.786276
Transaction History,Data,2025-10-27,vpk2,SALESFORCE INC,Sell,CRM,-100.0,256.6,USD,25660.0,-0.0188,25659.9812
Transaction History,Data,2025-10-27,vpk2,SALESFORCE INC,Sell,CRM,-10.0,256.6,USD,2566.0,-0.00188,2565.99812
Transaction History,Data,2025-10-23,vpk2,QUALCOMM INC,Sell,QCOM,-62.0,169.0,USD,10478.0,-0.011656,10477.988344
Transaction History,Data,2025-10-23,vpk2,QUALCOMM INC,Sell,QCOM,-38.0,169.0,USD,6422.0,-1.007144,6420.992856
