"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/02/2024","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$2.19"
"07/02/2024","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.55"
"06/27/2024","NRA Tax Adj","","SCHWAB1 INT 05/30-06/26","","","","-$6.34"
"06/27/2024","Credit Interest","","SCHWAB1 INT 05/30-06/26","","","","$42.28"
"05/30/2024","NRA Tax Adj","","SCHWAB1 INT 04/29-05/29","","","","-$6.64"
"05/30/2024","Credit Interest","","SCHWAB1 INT 04/29-05/29","","","","$44.31"
"05/22/2024","Sell","AZN","ASTRAZENECA PLC FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","100","$78.64","$0.24","$7863.76"
"04/29/2024","NRA Tax Adj","","SCHWAB1 INT 03/27-04/28","","","","-$6.82"
"04/29/2024","Credit Interest","","SCHWAB1 INT 03/27-04/28","","","","$45.48"
"03/28/2024","Reinvest Shares","VOOG","VANGUARD S&P ...500 GROWTH ETF","0.0037","$305.34","","-$1.14"
"03/27/2024","NRA Tax Adj","","SCHWAB1 INT 02/28-03/26","","","","-$5.34"
"03/27/2024","Credit Interest","","SCHWAB1 INT 02/28-03/26","","","","$35.65"
"03/27/2024","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$1.52"
"03/27/2024","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.38"
"03/27/2024","Sell","BWA","BORG WARNER INC","501.2832","$34.385","$0.22","$17236.41"
"03/25/2024","ADR Mgmt Fee","AZN","ASTRAZENECA PLC FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","-$2.00"
"03/25/2024","Qualified Dividend","AZN","ASTRAZENECA PLC FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$98.50"
"03/18/2024","Buy","TSLA","TESLA INC","50","$167.50","","-$8375.00"
"03/15/2024","Reinvest Shares","BWA","BORG WARNER INC","1.2832","$32.147","","-$41.25"
"03/15/2024","NRA Tax Adj","BWA","BORG WARNER INC","","","","-$13.75"
"03/15/2024","Qual Div Reinvest","BWA","BORG WARNER INC","","","","$55.00"
"02/28/2024","NRA Tax Adj","","SCHWAB1 INT 01/30-02/27","","","","-$6.48"
"02/28/2024","Credit Interest","","SCHWAB1 INT 01/30-02/27","","","","$43.23"
"02/13/2024","Buy","BWA","BORG WARNER INC","500","$30.985","","-$15492.50"
"02/13/2024","Buy","BLDP","BALLARD POWER SYS F","1,600","$3.085","","-$4936.00"
"02/06/2024","Buy","AZN","ASTRAZENECA PLC FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","100","$66.875","","-$6687.50"
"02/06/2024","Buy","TSLA","TESLA INC","40","$182.885","","-$7315.40"
"01/30/2024","NRA Tax Adj","","SCHWAB1 INT 12/28-01/29","","","","-$8.51"
"01/30/2024","Credit Interest","","SCHWAB1 INT 12/28-01/29","","","","$56.76"
"12/29/2023","NRA Tax Adj","METV","ROUNDHILL BALL METAVERSEETF","","","","-$0.48"
"12/29/2023","Cash Dividend","METV","ROUNDHILL BALL METAVERSEETF","","","","$1.91"
"12/28/2023","NRA Tax Adj","","SCHWAB1 INT 11/29-12/27","","","","-$5.59"
"12/28/2023","Credit Interest","","SCHWAB1 INT 11/29-12/27","","","","$37.28"
"12/27/2023","Reinvest Shares","VOOG","VANGUARD S&P ...500 GROWTH ETF","0.0127","$271.0438","","-$3.45"
"12/26/2023","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$4.60"
"12/26/2023","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$1.15"
"12/15/2023","Sell","AAL","AMERICAN AIRLS GROUP","1,600","$14.52","$0.42","$23231.58"
"12/15/2023","Sell","INTC","INTEL CORP","600","$46.70","$0.30","$28019.70"
"12/01/2023","NRA Tax Adj","INTC","INTEL CORP","","","","-$18.75"
"12/01/2023","Qualified Dividend","INTC","INTEL CORP","","","","$75.00"
"11/29/2023","NRA Tax Adj","","SCHWAB1 INT 10/30-11/28","","","","-$5.18"
"11/29/2023","Credit Interest","","SCHWAB1 INT 10/30-11/28","","","","$34.59"
"11/16/2023","Buy","AAL","AMERICAN AIRLS GROUP","600","$12.475","","-$7485.00"
"10/30/2023","NRA Tax Adj","","SCHWAB1 INT 09/28-10/29","","","","-$5.71"
"10/30/2023","Credit Interest","","SCHWAB1 INT 09/28-10/29","","","","$38.08"
"10/04/2023","Reinvest Shares","VOOG","VANGUARD S&P ...500 GROWTH ETF","0.0116","$244.8891","","-$2.83"
"10/03/2023","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$3.78"
"10/03/2023","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.95"
"09/28/2023","NRA Tax Adj","","SCHWAB1 INT 08/30-09/27","","","","-$6.63"
"09/28/2023","Credit Interest","","SCHWAB1 INT 08/30-09/27","","","","$44.22"
"09/28/2023","Buy","AAL","AMERICAN AIRLS GROUP","500","$12.9799","","-$6489.95"
"09/26/2023","Buy","AAL","AMERICAN AIRLS GROUP","500","$12.8787","","-$6439.35"
"09/26/2023","Buy","INTC","INTEL CORP","150","$34.5281","","-$5179.22"
"09/26/2023","Buy","PLUG","PLUG POWER INC","700","$7.45","","-$5215.00"
"09/26/2023","Buy","BLDP","BALLARD POWER SYS F","1,500","$3.555","","-$5332.50"
"09/01/2023","NRA Tax Adj","INTC","INTEL CORP","","","","-$14.06"
"09/01/2023","Qualified Dividend","INTC","INTEL CORP","","","","$56.25"
"08/30/2023","NRA Tax Adj","","SCHWAB1 INT 07/28-08/29","","","","-$6.11"
"08/30/2023","Credit Interest","","SCHWAB1 INT 07/28-08/29","","","","$40.79"
"08/29/2023","Sell","OKTA","OKTA INC CLASS A","175","$71.875","$0.13","$12578.00"
"08/28/2023","Wire Received","","WIRED FUNDS RECEIVED","","","","$39960.00"
"08/15/2023","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","200","$20.62","","-$4124.00"
"08/15/2023","Buy","BLDP","BALLARD POWER SYS F","1,000","$4.485","","-$4485.00"
"08/15/2023","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","200","$20.55","","-$4110.00"
"08/10/2023","Buy","PLUG","PLUG POWER INC","750","$9.325","","-$6993.75"
"08/02/2023","Buy","TSLA","TESLA INC","50","$253.80","","-$12690.00"
"08/02/2023","Buy","PLUG","PLUG POWER INC","1,000","$11.655","","-$11655.00"
"08/02/2023","Buy","U","UNITY SOFTWARE INC","478","$41.78","","-$19970.84"
"08/02/2023","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","1,000","$25.66","","-$25660.00"
"07/28/2023","NRA Tax Adj","","SCHWAB1 INT 06/29-07/27","","","","-$10.49"
"07/28/2023","Credit Interest","","SCHWAB1 INT 06/29-07/27","","","","$69.94"
"07/20/2023","Buy","OKTA","OKTA INC CLASS A","75","$70.02","","-$5251.50"
"07/20/2023","Buy","PLUG","PLUG POWER INC","750","$12.62","","-$9465.00"
"07/20/2023","Buy","TSLA","TESLA INC","20","$270.96","","-$5419.20"
"07/20/2023","Buy","INTC","INTEL CORP","150","$34.08","","-$5112.00"
"07/20/2023","Buy","TSLA","TESLA INC","30","$272.135","","-$8164.05"
"07/20/2023","Buy","INTC","INTEL CORP","300","$33.9581","","-$10187.43"
"07/20/2023","Buy","BLDP","BALLARD POWER SYS F","1,000","$4.6578","","-$4657.80"
"07/14/2023","Sell","PLUG","PLUG POWER INC","500","$12.92","$0.12","$6459.88"
"07/07/2023","Sell","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","800","$23.38","$0.26","$18703.74"
"07/06/2023","Reinvest Shares","VOOG","VANGUARD S&P ...500 GROWTH ETF","0.0105","$250.8197","","-$2.63"
"07/06/2023","Buy","PLUG","PLUG POWER INC","500","$9.8673","","-$4933.65"
"07/06/2023","Buy","BLDP","BALLARD POWER SYS F","2,000","$4.0599","","-$8119.80"
"07/05/2023","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$3.51"
"07/05/2023","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.88"
"06/29/2023","NRA Tax Adj","","SCHWAB1 INT 05/30-06/28","","","","-$10.23"
"06/29/2023","Credit Interest","","SCHWAB1 INT 05/30-06/28","","","","$68.20"
"06/12/2023","Sell","INTC","INTEL CORP","319.3465","$33.2429","$0.13","$10615.88"
"06/12/2023","Sell","BLDP","BALLARD POWER SYS F","2,600","$4.7406","$0.48","$12325.08"
"06/07/2023","Sell","BE","BLOOM ENERGY CORP CLASS A","350","$15.66","$0.10","$5480.90"
"06/07/2023","Sell","AAL","AMERICAN AIRLS GROUP","400","$15.1006","$0.11","$6040.13"
"06/02/2023","Reinvest Shares","INTC","INTEL CORP","0.9643","$30.9554","","-$29.85"
"06/01/2023","NRA Tax Adj","INTC","INTEL CORP","","","","-$9.95"
"06/01/2023","Qual Div Reinvest","INTC","INTEL CORP","","","","$39.80"
"06/01/2023","Buy","OKTA","OKTA INC CLASS A","100","$73.428","","-$7342.80"
"05/30/2023","NRA Tax Adj","","SCHWAB1 INT 04/27-05/29","","","","-$11.29"
